Raman_Shift,Feature Importance
709.272,-0.542463597
710.175,-0.118277985
711.078,-0.047580383
711.981,0.305907626
712.883,-0.224324388
713.785,0.023117219
714.687,-0.401068393
715.589,0.129163621
716.49,-0.012231582
717.391,0.305907626
718.293,0.44730283
719.193,0.164512422
720.094,0.05846602
720.995,0.235210024
721.895,-0.012231582
722.795,-0.118277985
723.695,-0.401068393
724.595,0.023117219
725.494,-0.082929184
726.393,-0.012231582
727.292,-0.118277985
728.191,-0.224324388
729.09,-0.436417194
729.988,-0.330370791
730.887,-0.436417194
731.785,0.305907626
732.683,-0.259673189
733.58,0.023117219
734.478,-0.754556403
735.375,-0.224324388
736.272,-0.330370791
737.169,-0.118277985
738.066,-0.542463597
738.962,-0.188975587
739.858,-0.188975587
740.755,-0.188975587
741.65,-0.259673189
742.546,0.023117219
743.442,-0.012231582
744.337,0.093814821
745.232,-0.082929184
746.127,-0.118277985
747.021,0.023117219
747.916,-0.259673189
748.81,-0.29502199
749.704,-0.118277985
750.598,0.518000432
751.492,-0.153626786
752.385,0.129163621
753.279,-0.118277985
754.172,0.05846602
755.064,-0.118277985
755.957,-0.224324388
756.85,-0.153626786
757.742,-0.259673189
758.634,-0.082929184
759.526,-0.118277985
760.418,-0.047580383
761.309,0.023117219
762.2,-0.047580383
763.091,-0.507114796
763.982,-0.153626786
764.873,-0.436417194
765.763,0.659395636
766.654,-0.259673189
767.544,-0.047580383
768.434,-0.224324388
769.323,-0.012231582
770.213,-0.719207602
771.102,-0.613161199
771.991,-0.931300408
772.88,-0.542463597
773.769,-0.966649209
774.657,-0.577812398
775.546,-0.966649209
776.434,-0.330370791
777.322,-0.789905204
778.209,-0.188975587
779.097,-0.860602806
779.984,-0.188975587
780.871,-0.789905204
781.758,-0.118277985
782.645,-0.259673189
783.531,0.129163621
784.418,-0.153626786
785.304,0.023117219
786.19,0.023117219
787.076,0.129163621
787.961,0.05846602
788.846,0.164512422
789.732,-0.118277985
790.617,-0.047580383
791.501,-0.082929184
792.386,-0.047580383
793.27,-0.047580383
794.154,-0.047580383
795.038,0.023117219
795.922,0.376605228
796.806,0.023117219
797.689,0.164512422
798.572,0.129163621
799.455,0.270558825
